001\tmd2sum
002\tmd4sum
003\tHavalsum
004\tmd5sum
005\tripemdsum
006\tsha0sum
007\tGostrsum
008\tsha1sum
009\ttigersum
00A\tRipemd-128sum
00B\tRipemd-160sum
00C\tRipemd-256sum
00D\tRipemd-320sum
00E\tsha256sum
00F\tsha2sum
010\tsha384sum
011\tsha512sum
012\tsha224sum
013\twhirlpool
014\tbsum
015\tmd6sum
016\tsha3-224sum
017\tsha3-256sum
018\tsha3-384sum
019\tsha3sum
01A\tShake128sum
01B\tShake256sum
01C\tb2sum
01D\tStreebogsum
01E\tKangarooTwelvesum
01F\tb3sum
020\tBlake3sum
