b2sum\t01C
b3sum\t01F
Blake3sum\t020
bsum\t014
Gostrsum\t007
Havalsum\t003
KangarooTwelvesum\t01E
md2sum\t001
md4sum\t002
md5sum\t004
md6sum\t015
Ripemd-128sum\t00A
Ripemd-160sum\t00B
Ripemd-256sum\t00C
Ripemd-320sum\t00D
ripemdsum\t005
sha0sum\t006
sha1sum\t008
sha224sum\t012
sha256sum\t00E
sha2sum\t00F
sha3-224sum\t016
sha3-256sum\t017
sha3-384sum\t018
sha384sum\t010
sha3sum\t019
sha512sum\t011
Shake128sum\t01A
Shake256sum\t01B
Streebogsum\t01D
tigersum\t009
whirlpool\t013
