001\t128
002\t128
003\t0
004\t128
005\t0
006\t0
007\t0
008\t160
009\t0
00A\t128
00B\t160
00C\t256
00D\t320
00E\t256
00F\t256
010\t384
011\t512
012\t224
013\t512
014\t0
015\t0
016\t224
017\t256
018\t384
019\t224
01A\t256
01B\t256
01C\t512
01D\t0
01E\t0
01F\t256
020\t256
